# spectral number density of the DustTorus photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
5.011872336272058636e+07,3.571060832795643921e+11
5.128613839912966639e+07,3.654241013365797729e+11
5.248074602497025579e+07,3.739358685117553711e+11
5.370317963701807708e+07,3.826458976881198120e+11
5.495408738575506210e+07,3.915588068618943481e+11
5.623413251902731508e+07,4.006793215906395264e+11
5.754399373370789737e+07,4.100122774984176025e+11
5.888436553555089235e+07,4.195626228392925415e+11
6.025595860742755234e+07,4.293354211205317383e+11
6.165950018613976985e+07,4.393358537868916016e+11
6.309573444801065326e+07,4.495692229674199829e+11
6.456542290345664322e+07,4.600409542862190552e+11
6.606934480075045675e+07,4.707565997386669922e+11
6.760829753918878734e+07,4.817218406346188354e+11
6.918309709188400209e+07,4.929424906101437988e+11
7.079457843840388954e+07,5.044244987094007568e+11
7.244359600748883188e+07,5.161739525382761841e+11
7.413102413008131087e+07,5.281970814914652100e+11
7.585775750290764868e+07,5.405002600546954346e+11
7.762471166285815835e+07,5.530900111838521729e+11
7.943282347241684794e+07,5.659730097627877197e+11
8.128305161639831960e+07,5.791560861416506348e+11
8.317637711025518179e+07,5.926462297576086426e+11
8.511380382022540271e+07,6.064505928398843994e+11
8.709635899559549987e+07,6.205764942010610352e+11
8.912509381336164474e+07,6.350314231166757812e+11
9.120108393557772040e+07,6.498230432951463623e+11
9.332543007968549430e+07,6.649591969401392822e+11
9.549925860212962329e+07,6.804479089075310059e+11
9.772372209556671977e+07,6.962973909591607666e+11
9.999999999998527765e+07,7.125160461156324463e+11
1.023292992280602902e+08,7.291124731104674072e+11
1.047128548050744385e+08,7.460954709479666748e+11
1.071519305237447023e+08,7.634740435672015381e+11
1.096478196143021435e+08,7.812574046145975342e+11
1.122018454301795512e+08,7.994549823276412354e+11
1.148153621496710330e+08,8.180764245322932129e+11
1.174897554939352572e+08,8.371316037567625732e+11
1.202264434617231190e+08,8.566306224643363037e+11
1.230268770812194943e+08,8.765838184080501709e+11
1.258925411793975681e+08,8.970017701100246582e+11
1.288249551692937315e+08,9.178953024683697510e+11
1.318256738556205183e+08,9.392754924946343994e+11
1.348962882591446340e+08,9.611536751848288574e+11
1.380384264602672160e+08,9.835414495271346436e+11
1.412537544622536004e+08,1.006450684649476562e+12
1.445439770745703280e+08,1.029893526110218750e+12
1.479108388167977333e+08,1.053882402335310303e+12
1.513561248435972035e+08,1.078430031205287842e+12
1.548816618912238777e+08,1.103549426795624023e+12
1.584893192460864484e+08,1.129253906273988770e+12
1.621810097358674407e+08,1.155557096958072510e+12
1.659586907437298298e+08,1.182472943537708252e+12
1.698243652461475134e+08,1.210015715465120361e+12
1.737800828749099076e+08,1.238200014517192139e+12
1.778279410038639009e+08,1.267040782533787109e+12
1.819700858609692156e+08,1.296553309336182861e+12
1.862087136662568450e+08,1.326753240829832275e+12
1.905460717962940335e+08,1.357656587295731445e+12
1.949844599757730365e+08,1.389279731874778809e+12
1.995262314968556464e+08,1.421639439249623047e+12
2.041737944669197500e+08,1.454752864528580322e+12
2.089296130853699148e+08,1.488637562336331543e+12
2.137962089501882792e+08,1.523311496116206543e+12
2.187761623949193954e+08,1.558793047648967285e+12
2.238721138567971587e+08,1.595101026793145264e+12
2.290867652767395377e+08,1.632254681452054443e+12
2.344228815319534242e+08,1.670273707772782959e+12
2.398832919019092619e+08,1.709178260582535645e+12
2.454708915684621930e+08,1.748988964067854736e+12
2.511886431509160995e+08,1.789726922702366943e+12
2.570395782768433690e+08,1.831413732428831787e+12
2.630267991894940436e+08,1.874071492101401367e+12
2.691534803926462531e+08,1.917722815194154541e+12
2.754228703337701559e+08,1.962390841782070312e+12
2.818382931263976693e+08,2.008099250800801270e+12
2.884031503126116395e+08,2.054872272591709961e+12
2.951209226665883064e+08,2.102734701738800781e+12
3.019951720401500463e+08,2.151711910204343506e+12
3.090295432513061166e+08,2.201829860770108887e+12
3.162277660167835951e+08,2.253115120791345703e+12
3.235936569295725226e+08,2.305594876270745117e+12
3.311311214825338721e+08,2.359296946259826172e+12
3.388441561391438246e+08,2.414249797595384766e+12
3.467368504524713755e+08,2.470482559978743652e+12
3.548133892335136533e+08,2.528025041405803711e+12
3.630780547700378895e+08,2.586907743956027344e+12
3.715352290971074104e+08,2.647161879948699707e+12
3.801893963204944134e+08,2.708819388475000977e+12
3.890451449942120314e+08,2.771912952314615723e+12
3.981071705534269214e+08,2.836476015245807129e+12
4.073802778040405512e+08,2.902542799758105957e+12
4.168693834702613354e+08,2.970148325176942871e+12
4.265795188015166521e+08,3.039328426209821777e+12
4.365158322400879860e+08,3.110119771923798340e+12
4.466835921508830786e+08,3.182559885164266602e+12
4.570881896147929430e+08,3.256687162425345703e+12
4.677351412871139646e+08,3.332540894182300293e+12
4.786300923225519061e+08,3.410161285696745605e+12
4.897788193683574796e+08,3.489589478305615234e+12
5.011872336271812916e+08,3.570867571205093262e+12
5.128613839912714362e+08,3.654038643741029785e+12
5.248074602496767640e+08,3.739146778217574707e+12
5.370317963701543808e+08,3.826237083236041016e+12
5.495408738575236797e+08,3.915355717576339844e+12
5.623413251902456284e+08,4.006549914633536621e+12
5.754399373370506763e+08,4.099868007422404297e+12
5.888436553554799557e+08,4.195359454163194824e+12
6.025595860742459297e+08,4.293074864462048828e+12
6.165950018613674641e+08,4.393066026099859863e+12
6.309573444800755978e+08,4.495385932443724609e+12
6.456542290345348120e+08,4.600088810495353516e+12
6.606934480074721575e+08,4.707230149591288086e+12
6.760829753918546438e+08,4.816866730769951172e+12
6.918309709188060760e+08,4.929056656821048828e+12
7.079457843840041161e+08,5.043859383033094727e+12
7.244359600748528242e+08,5.161335748655271484e+12
7.413102413007767200e+08,5.281548009090145508e+12
7.585775750290392637e+08,5.404559868834167969e+12
7.762471166285434961e+08,5.530436515183323242e+12
7.943282347241294384e+08,5.659244652721604492e+12
8.128305161639432907e+08,5.791052538610422852e+12
8.317637711025109291e+08,5.925930018697586914e+12
8.511380382022123337e+08,6.063948564464723633e+12
8.709635899559122324e+08,6.205181310832601562e+12
8.912509381335726976e+08,6.349703094844205078e+12
9.120108393557324409e+08,6.497590495245845703e+12
9.332543007968091965e+08,6.648921872987151367e+12
9.549925860212494135e+08,6.803777412661082031e+12
9.772372209556193352e+08,6.962239164905843750e+12
9.999999999998036623e+08,7.124391089790828125e+12
1.023292992280552745e+09,7.290319101209407227e+12
1.047128548050692916e+09,7.460111112301812500e+12
1.071519305237394452e+09,7.633857081931941406e+12
1.096478196142967701e+09,7.811649062242427734e+12
1.122018454301740408e+09,7.993581247312860352e+12
1.148153621496654034e+09,8.179750022946734375e+12
1.174897554939294815e+09,8.370254017613025391e+12
1.202264434617172241e+09,8.565194154569262695e+12
1.230268770812134504e+09,8.764673705193203125e+12
1.258925411793913841e+09,8.968798343551083984e+12
1.288249551692874193e+09,9.177676202230960938e+12
1.318256738556140423e+09,9.391417929470384766e+12
1.348962882591380119e+09,9.610136747608128906e+12
1.380384264602604389e+09,9.833948512890677734e+12
1.412537544622466564e+09,1.006297177666456250e+13
1.445439770745632410e+09,1.029732784798657031e+13
1.479108388167904615e+09,1.053714085768448438e+13
1.513561248435897589e+09,1.078253782390173438e+13
1.548816618912162781e+09,1.103364871916021875e+13
1.584893192460786819e+09,1.129060653897612695e+13
1.621810097358594894e+09,1.155354737206464844e+13
1.659586907437216997e+09,1.182261047217005078e+13
1.698243652461391687e+09,1.209793833155853125e+13
1.737800828749013901e+09,1.237967675621210156e+13
1.778279410038551807e+09,1.266797494276259375e+13
1.819700858609602928e+09,1.296298555720584570e+13
1.862087136662477255e+09,1.326486481543689453e+13
1.905460717962846994e+09,1.357377256564800195e+13
1.949844599757634640e+09,1.388987237263243555e+13
1.995262314968458414e+09,1.421333160403753906e+13
2.041737944669097424e+09,1.454432151861197266e+13
2.089296130853596449e+09,1.488301735649286719e+13
2.137962089501777649e+09,1.522959843157951953e+13
2.187761623949086666e+09,1.558424822604173633e+13
2.238721138567861557e+09,1.594715448701135156e+13
2.290867652767282963e+09,1.631850932550737109e+13
2.344228815319419384e+09,1.669850931764549414e+13
2.398832919018974781e+09,1.708735560818451367e+13
2.454708915684501648e+09,1.748525401646300391e+13
2.511886431509037495e+09,1.789241514478093359e+13
2.570395782768307209e+09,1.830905448928210547e+13
2.630267991894811153e+09,1.873539255339453125e+13
2.691534803926330566e+09,1.917165496388726172e+13
2.754228703337566376e+09,1.961807258960316406e+13
2.818382931263838291e+09,2.007488166292895312e+13
2.884031503125974655e+09,2.054232390406478125e+13
2.951209226665738106e+09,2.102064664815711328e+13
3.019951720401351929e+09,2.151010297536024219e+13
3.090295432512909412e+09,2.201095184389306250e+13
3.162277660167680740e+09,2.252345822615921484e+13
3.235936569295566082e+09,2.304789324800041016e+13
3.311311214825176239e+09,2.358453433115394531e+13
3.388441561391272068e+09,2.413366533898733984e+13
3.467368504524543762e+09,2.469557672558445703e+13
3.548133892334962368e+09,2.527056568825914453e+13
3.630780547700201035e+09,2.585893632357400000e+13
3.715352290970891953e+09,2.646099978694392969e+13
3.801893963204757214e+09,2.707707445590542578e+13
3.890451449941929340e+09,2.770748609713455859e+13
3.981071705534073830e+09,2.835256803729861719e+13
4.073802778040205479e+09,2.901266133782771875e+13
4.168693834702408791e+09,2.968811497369523828e+13
4.265795188014956951e+09,3.037928601629723438e+13
4.365158322400665283e+09,3.108653982052336328e+13
4.466835921508611679e+09,3.181025021611378906e+13
4.570881896147705078e+09,3.255079970339839062e+13
4.677351412870909691e+09,3.330857965351693359e+13
4.786300923225283623e+09,3.408399051322091406e+13
4.897788193683334351e+09,3.487744201435980859e+13
5.011872336271566391e+09,3.568935338815682031e+13
5.128613839912463188e+09,3.652015358438181250e+13
5.248074602496510506e+09,3.737028149553021094e+13
5.370317963701280594e+09,3.824018618612080469e+13
5.495408738574967384e+09,3.913032712722635938e+13
5.623413251902179718e+09,4.004117443635352344e+13
5.754399373370224953e+09,4.097320912279205469e+13
5.888436553554511070e+09,4.192692333855457812e+13
6.025595860742163658e+09,4.290282063503121875e+13
6.165950018613371849e+09,4.390141622548696094e+13
6.309573444800445557e+09,4.492323725353003906e+13
6.456542290345030785e+09,4.596882306768510156e+13
6.606934480074397087e+09,4.703872550220535156e+13
6.760829753918214798e+09,4.813350916426204688e+13
6.918309709187721252e+09,4.925375172765245312e+13
7.079457843839694023e+09,5.040004423316936719e+13
7.244359600748172760e+09,5.157299139577949219e+13
7.413102413007403374e+09,5.277321191876027344e+13
7.585775750290020943e+09,5.400133881494792969e+13
7.762471166285054207e+09,5.525801973525281250e+13
7.943282347240904808e+09,5.654391730460094531e+13
8.128305161639033318e+09,5.785970946546456250e+13
8.317637711024701118e+09,5.920608982914682031e+13
8.511380382021704674e+09,6.058376803499003906e+13
8.709635899558694839e+09,6.199347011767964844e+13
8.912509381335289001e+09,6.343593888281964062e+13
9.120108393556877136e+09,6.491193429095896875e+13
9.332543007967634201e+09,6.642223385025189844e+13
9.549925860212024689e+09,6.796763301793827344e+13
9.772372209555713654e+09,6.954894561083449219e+13
9.999999999997545242e+09,7.116700422502834375e+13
1.023292992280502510e+10,7.282266066497603125e+13
1.047128548050641441e+10,7.451678638220215625e+13
1.071519305237341881e+10,7.625027292380828125e+13
1.096478196142913818e+10,7.802403239099950000e+13
1.122018454301685333e+10,7.983899790784117188e+13
1.148153621496597672e+10,8.169612410046470312e+13
1.174897554939237213e+10,8.359638758694181250e+13
1.202264434617113113e+10,8.554078747805415625e+13
1.230268770812074089e+10,8.753034588918684375e+13
1.258925411793852043e+10,8.956610846358000000e+13
1.288249551692810822e+10,9.164914490717657812e+13
1.318256738556075859e+10,9.378054953530815625e+13
1.348962882591313934e+10,9.596144183146621875e+13
1.380384264602536583e+10,9.819296701840884375e+13
1.412537544622397232e+10,1.004762966418594531e+14
1.445439770745561409e+10,1.028126291670563906e+14
1.479108388167831993e+10,1.052031905884189531e+14
1.513561248435823250e+10,1.076492350525972188e+14
1.548816618912086868e+10,1.101520454951810781e+14
1.584893192460709000e+10,1.127129342913445781e+14
1.621810097358515167e+10,1.153332439207098906e+14
1.659586907437135506e+10,1.180143476467169531e+14
