# spectral number density of the Corona photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
2.137962089500929600e+17,1.342902108301912807e+07
2.187761623948227520e+17,1.267942700781781413e+07
2.238721138566991680e+17,1.197167449903473817e+07
2.290867652766383360e+17,1.130342800368450023e+07
2.344228815318489280e+17,1.067248233693463169e+07
2.398832919018032960e+17,1.007675540509052575e+07
2.454708915683547520e+17,9.703176580123459920e+06
2.511886431508051200e+17,9.287383852494057268e+06
2.570395782767287680e+17,8.889398548178136349e+06
2.630267991893778560e+17,8.508458218734914437e+06
2.691534803925284480e+17,8.143833056834951974e+06
2.754228703336484800e+17,7.794824498948862776e+06
2.818382931262720000e+17,7.460763887850956060e+06
2.884031503124842240e+17,7.141011192377649248e+06
2.951209226664591360e+17,6.834953781989324838e+06
3.019951720400166400e+17,6.542005253789224662e+06
3.090295432511683200e+17,6.261604309754454531e+06
3.162277660166439040e+17,5.993213682029946707e+06
3.235936569294309120e+17,5.736319104227659293e+06
3.311311214823875840e+17,5.490428326761192642e+06
3.388441561389927680e+17,5.255070174331368878e+06
3.467368504523182080e+17,5.029793643758673221e+06
3.548133892333583360e+17,4.814167040435063653e+06
3.630780547698775040e+17,4.607777151741741225e+06
3.715352290969418240e+17,4.410228455850803293e+06
3.801893963203264640e+17,4.221142364396392368e+06
3.890451449940417920e+17,4.040156497565172613e+06
3.981071705532510720e+17,3.866923990218139719e+06
4.073802778038589440e+17,3.701112827715697233e+06
4.168693834700771840e+17,3.542405210174742620e+06
4.265795188013299840e+17,3.390496943940366618e+06
4.365158322398951680e+17,3.245096859107058030e+06
4.466835921506839680e+17,3.105926251974497456e+06
4.570881896145909760e+17,2.972718351370818447e+06
4.677351412869092480e+17,2.845217807821367402e+06
4.786300923223404800e+17,2.723180204584891442e+06
4.897788193681391360e+17,2.606371589621240273e+06
5.011872336269598720e+17,2.494568027594782412e+06
5.128613839910470400e+17,2.387555171055616345e+06
5.248074602494449280e+17,2.285127849977543578e+06
5.370317963699150080e+17,2.187089678867145441e+06
5.495408738572808960e+17,2.093252680691953981e+06
5.623413251899994880e+17,2.003436926907557994e+06
5.754399373367965440e+17,1.917470192894402659e+06
5.888436553552175360e+17,1.835187628144761547e+06
6.025595860739797760e+17,1.756431440568600548e+06
6.165950018610976000e+17,1.681050594313788926e+06
6.309573444797968640e+17,1.608900520522068255e+06
6.456542290342469120e+17,1.539842840467143804e+06
6.606934480071802880e+17,1.473745100544953952e+06
6.760829753915587840e+17,1.410480518608642742e+06
6.918309709185004800e+17,1.349927741162515478e+06
7.079457843836884480e+17,1.291970610950244591e+06
7.244359600745327360e+17,1.236497944492442766e+06
7.413102413004522240e+17,1.183403319147607312e+06
7.585775750287042560e+17,1.132584869288697839e+06
7.762471166281975040e+17,1.083945091205212986e+06
7.943282347237785600e+17,1.037390656357314088e+06
8.128305161635874560e+17,9.928322326243909774e+05
8.317637711021434880e+17,9.501843132057830226e+05
8.511380382018328320e+17,9.093650528461633949e+05
8.709635899555274240e+17,8.702961110720888246e+05
8.912509381331827200e+17,8.329025021395072108e+05
9.120108393553296640e+17,7.971124514049113495e+05
9.332543007963930880e+17,7.628572578452009475e+05
9.549925860208275200e+17,7.300711624630956212e+05
9.772372209551915520e+17,6.986912223260932369e+05
9.999999999993619200e+17,6.686571899977714056e+05
1.023292992280096512e+18,6.399113981306487694e+05
1.047128548050230400e+18,6.123986489996908931e+05
1.071519305236925568e+18,5.860661087649100227e+05
1.096478196142483200e+18,5.608632062605863903e+05
1.122018454301240192e+18,5.367415361173728015e+05
1.148153621496146816e+18,5.136547660318384878e+05
1.174897554938780672e+18,4.915585480058597168e+05
1.202264434616641024e+18,4.704104333858944010e+05
1.230268770811586048e+18,4.501697915395057644e+05
1.258925411793357824e+18,4.307977320134570473e+05
1.288249551692310272e+18,4.122570300243082456e+05
1.318256738555558144e+18,3.945120551388235181e+05
1.348962882590778624e+18,3.775287030076766969e+05
1.380384264601994496e+18,3.612743300217650831e+05
1.412537544621848320e+18,3.457176907659917488e+05
1.445439770744993792e+18,3.308288781507416861e+05
1.479108388167245312e+18,3.165792661064455751e+05
1.513561248435228928e+18,3.029414547315312084e+05
1.548816618911484928e+18,2.898892177887081634e+05
1.584893192460086528e+18,2.773974524490417098e+05
1.621810097357871872e+18,2.654421311876117834e+05
1.659586907436483840e+18,2.540002557386633707e+05
1.698243652460648448e+18,2.430498130220650928e+05
1.737800828748246272e+18,2.325697329566713306e+05
1.778279410037758976e+18,2.225398480798287783e+05
1.819700858608799232e+18,2.129408548957194434e+05
1.862087136661662208e+18,2.037542768785161607e+05
1.905460717962005248e+18,1.949624290594919003e+05
1.949844599756765440e+18,1.865483841302949295e+05
1.995262314967577088e+18,1.784959399974897678e+05
2.041737944668203776e+18,1.707895887262249307e+05
2.089296130852673536e+18,1.634144868135463039e+05
2.137962089500824576e+18,1.563564267344489053e+05
2.187761623948120064e+18,1.496018097061887966e+05
2.238721138566881792e+18,1.431376196186904563e+05
2.290867652766270720e+18,1.369513980811197252e+05
2.344228815318374400e+18,1.310312205368495925e+05
2.398832919017914880e+18,1.253656734010888467e+05
2.454708915683427328e+18,1.199438321773812640e+05
2.511886431507928064e+18,1.147552405110649706e+05
2.570395782767161344e+18,1.097898901395853900e+05
2.630267991893649408e+18,1.050382017012763099e+05
2.691534803925152768e+18,1.004910063658470026e+05
